working_220_id,museum_code,museum_name,accession,object_id,record_type,cover_accession_number,title_en,title_zh,culture,date_or_period,medium_or_technique,classification_or_type,object_url,api_url,public_domain,original_image_url,print_image_url,web_image_url,additional_images,additional_image_count,downloadable_original,download_status,museum_core_version,museum_core_status,boundary_hypothesis,boundary_confidence,book_catalogue_no,book_plate_no,book_page,book_match_status,book_match_basis,book_match_confidence,notes
CMA:2025.70,CMA,Cleveland Museum of Art,2025.70,679098,object,,Scenes from First Part of Campaign to the East,征東前本,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.70,https://openaccess-api.clevelandart.org/api/artworks/2025.70,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.71,CMA,Cleveland Museum of Art,2025.71,679099,object,,A Newly-Cut Print: Scenes from the Second Part of Record of the Three Kingdoms,新刻三國誌後傳,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.71,https://openaccess-api.clevelandart.org/api/artworks/2025.71,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.74,CMA,Cleveland Museum of Art,2025.74,679102,object,,The Spring Ox,春牛圖,"['China, Qing dynasty (1644–1911), Guangxu period (1875–1905)']",1882,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.74,https://openaccess-api.clevelandart.org/api/artworks/2025.74,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.75,CMA,Cleveland Museum of Art,2025.75,679103,object,,Illustrations of the Sui and Tang Dynasties,隋唐綉像,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Woodblock print; ink on paper,Print,https://clevelandart.org/art/2025.75,https://openaccess-api.clevelandart.org/api/artworks/2025.75,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.77,CMA,Cleveland Museum of Art,2025.77,679105,object,,Four Concubines,四妃圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.77,https://openaccess-api.clevelandart.org/api/artworks/2025.77,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.78,CMA,Cleveland Museum of Art,2025.78,679106,object,,"Drinking Wine in Autumn, Chanting Poems in Winter",秋飲冬吟,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.78,https://openaccess-api.clevelandart.org/api/artworks/2025.78,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.79,CMA,Cleveland Museum of Art,2025.79,679107,object,,The Spring Hunt,春蒐圖,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722) to Yongzheng reign (1723–35)']",1662–1735,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.79,https://openaccess-api.clevelandart.org/api/artworks/2025.79,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.80,CMA,Cleveland Museum of Art,2025.80,679108,object,,Wannian Bridge in Suzhou,姑蘇萬年橋,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1741,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.80,https://openaccess-api.clevelandart.org/api/artworks/2025.80,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.81,CMA,Cleveland Museum of Art,2025.81,679109,object,,Great Celebrations in an Abundant Year,大慶豐年,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.81,https://openaccess-api.clevelandart.org/api/artworks/2025.81,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.85,CMA,Cleveland Museum of Art,2025.85,679113,object,,Print of Xu Gate and the City Moat,胥門護城河畔圖,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.85,https://openaccess-api.clevelandart.org/api/artworks/2025.85,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
